title,size(㎡),year,location,total price(万),price per square(元/㎡),block
双河南里尚城,80.87,2013,观音寺-观音寺街道团河路双河南里尚城,329,40682,观音寺
海子角西里,85.35,2003,观音寺-(大兴)海子角西里,238,27885,观音寺
双河南里,99.36,1999,观音寺-(大兴)双河南里,290,29186,观音寺
海子角南里,77.75,1996,观音寺-(大兴)海子角南里,190,24437,观音寺
观音寺南里,78.91,1996,观音寺-(大兴)观音寺南里,256,32442,观音寺
观音寺小区,70.65,2006,观音寺-观音寺街20号,218,30856,观音寺
观音寺小区,71,1994,观音寺-观音寺街20号,229,32253,观音寺
双河南里,69.4,1996,观音寺-(大兴)双河南里,249,35878,观音寺
绿色庄园,136.54,2003,观音寺-(大兴)海子角东里,528,38669,观音寺
海子角西里,124.29,2002,观音寺-(大兴)海子角西里,350,28159,观音寺
观音寺南里,99.48,1996,观音寺-(大兴)观音寺南里,270,27141,观音寺
绿色庄园,61.04,2000,观音寺-(大兴)海子角东里,226,37024,观音寺
观音寺小区,120.87,1998,观音寺-观音寺街20号,392,32431,观音寺
观音寺新区,184.45,2004,观音寺-(大兴)观音寺北里,510,27649,观音寺
海子角西里,83.34,2002,观音寺-(大兴)海子角西里,269,32277,观音寺
海子角南里,79.69,1996,观音寺-(大兴)海子角南里,200,25097,观音寺
观音寺北里,78.63,1996,观音寺-(大兴)观音寺北里,270,34338,观音寺
辛店小区,78.62,1995,"观音寺-大兴黄村海子角南,黄徐路东侧",205,26074,观音寺
观音寺小区,68.79,1997,观音寺-观音寺街20号,225,32708,观音寺
观音寺北里,78.63,1996,观音寺-(大兴)观音寺北里,270,34338,观音寺
观音寺北里,69.29,1996,观音寺-(大兴)观音寺北里,199,28719,观音寺
观音寺南里,68.15,1995,观音寺-(大兴)观音寺南里,205,30080,观音寺
绿色庄园,207.33,2003,观音寺-(大兴)海子角东里,650,31350,观音寺
观音寺小区,68.79,1998,观音寺-观音寺街20号,218,31690,观音寺
观音寺北里,107.11,2000,观音寺-(大兴)观音寺北里,326,30436,观音寺
双河南里,69.4,1996,观音寺-(大兴)双河南里,249,35878,观音寺
观音寺新区,86.16,2003,观音寺-(大兴)观音寺北里,359,41666,观音寺
观音寺小区,70.65,2006,观音寺-观音寺街20号,218,30856,观音寺
观音寺北里,69.29,1996,观音寺-(大兴)观音寺北里,229,33049,观音寺
海子角东里,81.79,1996,观音寺-(大兴)海子角东里,234,28609,观音寺
绿色庄园,136.54,2003,观音寺-(大兴)海子角东里,528,38669,观音寺
双河南里,69.48,1997,观音寺-(大兴)双河南里,230,33103,观音寺
海子角小区,70.56,1996,观音寺-大兴环岛向东100米友爱医院旁边,218,30895,观音寺
观音寺南里,88.54,1998,观音寺-(大兴)观音寺南里,295,33318,观音寺
绿色庄园,207.33,2003,观音寺-(大兴)海子角东里,650,31350,观音寺
双河南里尚城,50.68,2015,观音寺-观音寺街道团河路双河南里尚城,185,36503,观音寺
双河南里,67.5,1996,观音寺-(大兴)双河南里,245,36296,观音寺
双河南里尚城,80.86,2012,观音寺-观音寺街道团河路双河南里尚城,300,37101,观音寺
观音寺小区,68.79,1995,观音寺-观音寺街20号,218,31690,观音寺
林海园,84.03,1998,观音寺-大兴区黄村镇辛店村行知路与黄徐路交叉口,228,27133,观音寺
观音寺南里,107.1,2005,观音寺-(大兴)观音寺南里,381,35574,观音寺
观音寺小区,70.65,1995,观音寺-观音寺街20号,193,27317,观音寺
海子角西里,63.65,1994,观音寺-(大兴)海子角西里,206,32364,观音寺
观音寺小区,68.79,1995,观音寺-观音寺街20号,229,33289,观音寺
观音寺小区,70.65,1994,观音寺-观音寺街20号,240,33970,观音寺
观音寺新区,123.06,2001,观音寺-(大兴)观音寺北里,430,34942,观音寺
观音寺新区,184.45,2004,观音寺-(大兴)观音寺北里,550,29818,观音寺
观音寺小区,71,1994,观音寺-观音寺街20号,230,32394,观音寺
观音寺南里,75.52,1996,观音寺-(大兴)观音寺南里,239,31647,观音寺
观音寺北里,69.44,1997,观音寺-(大兴)观音寺北里,233,33554,观音寺
林海园,85,,观音寺-大兴区黄村镇辛店村行知路与黄徐路交叉口,202,23764,观音寺
观音寺小区,73,2006,观音寺-观音寺街20号,239,32739,观音寺
观音寺小区,70.65,1994,观音寺-观音寺街20号,240,33970,观音寺
观音寺北里,67.94,1996,观音寺-(大兴)观音寺北里,228,33559,观音寺
观音寺小区,73,1998,观音寺-观音寺街20号,240,32876,观音寺
海子角南里,77.75,1996,观音寺-(大兴)海子角南里,190,24437,观音寺
观音寺南里,99.48,1996,观音寺-(大兴)观音寺南里,270,27141,观音寺
绿色庄园,136.54,2003,观音寺-(大兴)海子角东里,528,38669,观音寺
观音寺小区,75,1996,观音寺-观音寺街20号,225,30000,观音寺
宇丰苑,99.39,2003,观音寺-大兴环岛京开高速东侧(大兴桥东南侧),375,37730,观音寺
双河南里尚城,80.86,2016,观音寺-观音寺街道团河路双河南里尚城,290,35864,观音寺
观音寺南里,70.3,1995,观音寺-(大兴)观音寺南里,210,29871,观音寺
观音寺北里,83.51,1998,观音寺-(大兴)观音寺北里,255,30535,观音寺
双河南里,86.76,1996,观音寺-(大兴)双河南里,310,35730,观音寺
海子角南里,88.87,1996,观音寺-(大兴)海子角南里,275,30944,观音寺
观音寺小区,86.67,1988,观音寺-观音寺街20号,340,39229,观音寺
海子角西里,83.34,2002,观音寺-(大兴)海子角西里,269,32277,观音寺
观音寺北里,69.29,1998,观音寺-(大兴)观音寺北里,225,32472,观音寺
海子角南里,90.32,1996,观音寺-(大兴)海子角南里,248,27457,观音寺
观音寺南里,70.93,1998,观音寺-(大兴)观音寺南里,240,33836,观音寺
海子角南里,106.99,1998,观音寺-(大兴)海子角南里,242,22618,观音寺
海悦公馆,55.58,2014,观音寺-京开高速与黄马路交叉口东南角,235,42281,观音寺
双河南里,99.36,1999,观音寺-(大兴)双河南里,290,29186,观音寺
海子角南里,79.69,1998,观音寺-(大兴)海子角南里,200,25097,观音寺
观音寺新区,184.45,2004,观音寺-(大兴)观音寺北里,510,27649,观音寺
观音寺新区,145.27,2003,观音寺-(大兴)观音寺北里,463,31871,观音寺
海子角小区,87.96,1996,观音寺-大兴环岛向东100米友爱医院旁边,278,31605,观音寺
海子角小区,93.88,1997,观音寺-大兴环岛向东100米友爱医院旁边,260,27694,观音寺
海悦公馆,99.15,2014,观音寺-京开高速与黄马路交叉口东南角,410,41351,观音寺
观音寺新区,150.91,2014,观音寺-(大兴)观音寺北里,570,37770,观音寺
海子角西里,82.94,1999,观音寺-(大兴)海子角西里,270,32553,观音寺
观音寺北里,78.63,1996,观音寺-(大兴)观音寺北里,270,34338,观音寺
海子角东里,81.79,1996,观音寺-(大兴)海子角东里,234,28609,观音寺
观音寺北里,69.11,1998,观音寺-(大兴)观音寺北里,245,35450,观音寺
绿色庄园,64.24,2004,观音寺-(大兴)海子角东里,226,35180,观音寺
海子角西里,63.65,1994,观音寺-(大兴)海子角西里,206,32364,观音寺
观音寺小区,70.65,2006,观音寺-观音寺街20号,218,30856,观音寺
海子角西里,81.13,2000,观音寺-(大兴)海子角西里,248,30568,观音寺
海子角南里,77.75,1996,观音寺-(大兴)海子角南里,190,24437,观音寺
海子角南里,77.75,1996,观音寺-(大兴)海子角南里,198,25466,观音寺
观音寺南里,75.52,1996,观音寺-(大兴)观音寺南里,239,31647,观音寺
双河南里,91.13,1999,观音寺-(大兴)双河南里,265,29079,观音寺
海子角南里,77,1995,观音寺-(大兴)海子角南里,220,28571,观音寺
观音寺南里,98.87,2003,观音寺-(大兴)观音寺南里,315,31860,观音寺
观音寺小区,71,1994,观音寺-观音寺街20号,229,32253,观音寺
海子角小区,70.56,1996,观音寺-大兴环岛向东100米友爱医院旁边,218,30895,观音寺
海子角南里,77,1995,观音寺-(大兴)海子角南里,220,28571,观音寺
观音寺小区,68.79,1996,观音寺-观音寺街20号,239,34743,观音寺
海子角西里,122.75,2000,观音寺-(大兴)海子角西里,380,30957,观音寺
海子角南里,79.69,1998,观音寺-(大兴)海子角南里,200,25097,观音寺
双河南里尚城,79.04,2016,观音寺-观音寺街道团河路双河南里尚城,300,37955,观音寺
观音寺北里,69.96,1996,观音寺-(大兴)观音寺北里,225,32161,观音寺
观音寺南里,99.48,1996,观音寺-(大兴)观音寺南里,270,27141,观音寺
海悦公馆,81.79,2014,观音寺-京开高速与黄马路交叉口东南角,275,33622,观音寺
海子角南里,73.12,1992,观音寺-(大兴)海子角南里,207,28309,观音寺
海子角南里,73.12,1992,观音寺-(大兴)海子角南里,207,28309,观音寺
海子角西里,65.98,1998,观音寺-(大兴)海子角西里,240,36374,观音寺
海子角西里,88.37,2003,观音寺-(大兴)海子角西里,240,27158,观音寺
观音寺南里,68.28,1995,观音寺-(大兴)观音寺南里,234,34270,观音寺
观音寺南里,70.93,1996,观音寺-(大兴)观音寺南里,235,33131,观音寺
绿色庄园,207.33,2003,观音寺-(大兴)海子角东里,650,31350,观音寺
观音寺北里,67.94,1996,观音寺-(大兴)观音寺北里,228,33559,观音寺
双河南里尚城,80.86,2012,观音寺-观音寺街道团河路双河南里尚城,300,37101,观音寺
观音寺北里,83.51,1996,观音寺-(大兴)观音寺北里,246,29457,观音寺
观音寺南里,84.64,2005,观音寺-(大兴)观音寺南里,275,32490,观音寺
观音寺新区,153.88,2002,观音寺-(大兴)观音寺北里,607,39446,观音寺
海子角南里,77.75,1996,观音寺-(大兴)海子角南里,190,24437,观音寺
双河南里,85.09,1993,观音寺-(大兴)双河南里,229,26912,观音寺
观音寺南里,90.47,1998,观音寺-(大兴)观音寺南里,300,33160,观音寺
观音寺北里,69.44,1997,观音寺-(大兴)观音寺北里,233,33554,观音寺
观音寺小区,68.79,1996,观音寺-观音寺街20号,210,30527,观音寺
海子角南里,77.75,2006,观音寺-(大兴)海子角南里,190,24437,观音寺
绿色庄园,135.19,2004,观音寺-(大兴)海子角东里,480,35505,观音寺
观音寺小区,129.18,1999,观音寺-观音寺街20号,408,31583,观音寺
双河南里,83.81,1997,观音寺-(大兴)双河南里,245,29232,观音寺
海子角南里,79.69,1997,观音寺-(大兴)海子角南里,230,28861,观音寺
观音寺新区,123.06,2001,观音寺-(大兴)观音寺北里,430,34942,观音寺
双河南里尚城,79.04,2016,观音寺-观音寺街道团河路双河南里尚城,300,37955,观音寺
观音寺新区,104.17,2003,观音寺-(大兴)观音寺北里,368,35326,观音寺
观音寺南里,84.64,2005,观音寺-(大兴)观音寺南里,275,32490,观音寺
观音寺南里,107.1,2005,观音寺-(大兴)观音寺南里,381,35574,观音寺
双河南里,99.36,1999,观音寺-(大兴)双河南里,290,29186,观音寺
海子角南里,79.69,1996,观音寺-(大兴)海子角南里,200,25097,观音寺
观音寺新区,86.58,2003,观音寺-(大兴)观音寺北里,340,39270,观音寺
双河南里,86.67,1996,观音寺-(大兴)双河南里,249,28729,观音寺
观音寺北里,69.29,1996,观音寺-(大兴)观音寺北里,199,28719,观音寺
观音寺新区,153.88,2002,观音寺-(大兴)观音寺北里,607,39446,观音寺
观音寺新区,91.12,2003,观音寺-(大兴)观音寺北里,369,40496,观音寺
观音寺新区,141.73,2002,观音寺-(大兴)观音寺北里,430,30339,观音寺
绿色庄园,90.81,2003,观音寺-(大兴)海子角东里,313,34467,观音寺
观音寺小区,70.65,2006,观音寺-观音寺街20号,218,30856,观音寺
海子角南里,79.69,1998,观音寺-(大兴)海子角南里,200,25097,观音寺
双河南里,76.69,1996,观音寺-(大兴)双河南里,280,36510,观音寺
观音寺南里,67.28,1998,观音寺-(大兴)观音寺南里,245,36414,观音寺
林海园,84.03,2010,观音寺-大兴区黄村镇辛店村行知路与黄徐路交叉口,200,23801,观音寺
观音寺小区,70.65,1994,观音寺-观音寺街20号,240,33970,观音寺
双河南里,94.13,2000,观音寺-(大兴)双河南里,285,30277,观音寺
观音寺新区,105.64,2002,观音寺-(大兴)观音寺北里,370,35024,观音寺
海子角西里,83.34,2002,观音寺-(大兴)海子角西里,269,32277,观音寺
海子角西里,82.94,1999,观音寺-(大兴)海子角西里,270,32553,观音寺
观音寺南里,73.45,1998,观音寺-(大兴)观音寺南里,228,31041,观音寺
海悦公馆,86.17,2014,观音寺-京开高速与黄马路交叉口东南角,355,41197,观音寺
海子角南里,77.75,1996,观音寺-(大兴)海子角南里,190,24437,观音寺
海子角南里,73.25,1998,观音寺-(大兴)海子角南里,240,32764,观音寺
绿色庄园,104.2,2003,观音寺-(大兴)海子角东里,285,27351,观音寺
海子角南里,73.12,1992,观音寺-(大兴)海子角南里,207,28309,观音寺
观音寺新区,153.88,2002,观音寺-(大兴)观音寺北里,607,39446,观音寺
绿色庄园,90.81,2003,观音寺-(大兴)海子角东里,313,34467,观音寺
观音寺新区,86.58,2005,观音寺-(大兴)观音寺北里,370,42735,观音寺
双河南里,91.13,2005,观音寺-(大兴)双河南里,290,31822,观音寺
海子角西里,84.79,1998,观音寺-(大兴)海子角西里,280,33022,观音寺
观音寺小区,70.65,2006,观音寺-观音寺街20号,218,30856,观音寺
双河南里,66.91,1998,观音寺-(大兴)双河南里,230,34374,观音寺
观音寺新区,91.12,2003,观音寺-(大兴)观音寺北里,369,40496,观音寺
海子角西里,83.34,2002,观音寺-(大兴)海子角西里,269,32277,观音寺
海悦公馆,99.15,2014,观音寺-京开高速与黄马路交叉口东南角,410,41351,观音寺
海子角西里,82.72,2000,观音寺-(大兴)海子角西里,249,30101,观音寺
观音寺小区,129.18,1999,观音寺-观音寺街20号,408,31583,观音寺
观音寺小区,70.65,2006,观音寺-观音寺街20号,218,30856,观音寺
观音寺小区,86.67,1988,观音寺-观音寺街20号,340,39229,观音寺
观音寺南里,75.52,1998,观音寺-(大兴)观音寺南里,221,29263,观音寺
海悦公馆,76.37,2014,观音寺-京开高速与黄马路交叉口东南角,310,40591,观音寺
观音寺小区,68.79,1996,观音寺-观音寺街20号,210,30527,观音寺
观音寺北里,87.42,2000,观音寺-(大兴)观音寺北里,260,29741,观音寺
观音寺北里,69.96,2001,观音寺-(大兴)观音寺北里,215,30731,观音寺
观音寺小区,68.79,1996,观音寺-观音寺街20号,239,34743,观音寺
观音寺小区,71.9,1998,观音寺-观音寺街20号,246,34214,观音寺
观音寺小区,76.97,1998,观音寺-观音寺街20号,230,29881,观音寺
绿色庄园,86.24,2005,观音寺-(大兴)海子角东里,288,33395,观音寺
海子角西里,83.24,2004,观音寺-(大兴)海子角西里,260,31234,观音寺
海子角南里,75.3,1996,观音寺-(大兴)海子角南里,270,35856,观音寺
双河南里,98.7,1996,观音寺-(大兴)双河南里,303,30699,观音寺
辛店小区,87.97,1999,"观音寺-大兴黄村海子角南,黄徐路东侧",238,27054,观音寺
海子角南里,97.76,1998,观音寺-(大兴)海子角南里,290,29664,观音寺
海子角西里,89.56,2000,观音寺-(大兴)海子角西里,278,31040,观音寺
观音寺南里,78.97,1996,观音寺-(大兴)观音寺南里,279,35329,观音寺
海子角南里,106.99,1996,观音寺-(大兴)海子角南里,256,23927,观音寺
海悦公馆,81.43,2014,观音寺-京开高速与黄马路交叉口东南角,315,38683,观音寺
海悦公馆,81.65,2016,观音寺-京开高速与黄马路交叉口东南角,325,39804,观音寺
宇丰苑,64.14,2004,观音寺-大兴环岛京开高速东侧(大兴桥东南侧),199,31025,观音寺
辛店小区,72.29,2000,"观音寺-大兴黄村海子角南,黄徐路东侧",145,20058,观音寺
观音寺南里,68.78,1997,观音寺-(大兴)观音寺南里,220,31986,观音寺
辛店小区,87.97,1999,"观音寺-大兴黄村海子角南,黄徐路东侧",238,27054,观音寺
观音寺南里,78.97,1996,观音寺-(大兴)观音寺南里,279,35329,观音寺
观音寺南里,56.8,2006,观音寺-(大兴)观音寺南里,208,36619,观音寺
海子角西里,124.29,2004,观音寺-(大兴)海子角西里,355,28562,观音寺
海子角南里,131.63,1998,观音寺-(大兴)海子角南里,309,23474,观音寺
奶牛厂宿舍,59.39,1994,观音寺-海淀区清河南镇车站附近,375,63141,观音寺
观音寺小区,71.9,1998,观音寺-观音寺街20号,246,34214,观音寺
海悦公馆,81.43,2014,观音寺-京开高速与黄马路交叉口东南角,315,38683,观音寺
海子角西里,67.1,1996,观音寺-(大兴)海子角西里,198,29508,观音寺
绿色庄园,86.24,2005,观音寺-(大兴)海子角东里,288,33395,观音寺
观音寺小区,76.97,1998,观音寺-观音寺街20号,230,29881,观音寺
观音寺南里,128.53,2000,观音寺-(大兴)观音寺南里,450,35011,观音寺
辛店小区,80.26,1994,"观音寺-大兴黄村海子角南,黄徐路东侧",160,19935,观音寺
海悦公馆,81.79,2014,观音寺-京开高速与黄马路交叉口东南角,278,33989,观音寺
观音寺北里,220.21,2002,观音寺-(大兴)观音寺北里,900,40870,观音寺
海悦公馆,81.65,2016,观音寺-京开高速与黄马路交叉口东南角,325,39804,观音寺
双河南里,75.9,1996,观音寺-(大兴)双河南里,230,30303,观音寺
海悦公馆,81.43,2014,观音寺-京开高速与黄马路交叉口东南角,305,37455,观音寺
观音寺南里,101.54,2000,观音寺-(大兴)观音寺南里,305,30037,观音寺
双河南里,67.5,1994,观音寺-(大兴)双河南里,218,32296,观音寺
双河南里尚城,80.86,2010,观音寺-观音寺街道团河路双河南里尚城,318,39327,观音寺
双河南里尚城,77.92,2014,观音寺-观音寺街道团河路双河南里尚城,290,37217,观音寺
宇丰苑,94.69,2004,观音寺-大兴环岛京开高速东侧(大兴桥东南侧),285,30098,观音寺
观音寺小区,71.9,1995,观音寺-观音寺街20号,238,33101,观音寺
观音寺北里,69.11,1996,观音寺-(大兴)观音寺北里,216,31254,观音寺
观音寺南里,87.88,2000,观音寺-(大兴)观音寺南里,287,32658,观音寺
观音寺小区,83.12,1999,观音寺-观音寺街20号,239,28753,观音寺
观音寺南里,87.88,2002,观音寺-(大兴)观音寺南里,303,34478,观音寺
观音寺南里,90.47,2003,观音寺-(大兴)观音寺南里,325,35923,观音寺
观音寺新区,124.65,2002,观音寺-(大兴)观音寺北里,458,36742,观音寺
观音寺小区,73,1994,观音寺-观音寺街20号,230,31506,观音寺
海子角南里,89.12,1998,观音寺-(大兴)海子角南里,275,30857,观音寺
观音寺小区,68.79,1995,观音寺-观音寺街20号,215,31254,观音寺
双河南里,98.7,1998,观音寺-(大兴)双河南里,310,31408,观音寺
林海园,85,2002,观音寺-大兴区黄村镇辛店村行知路与黄徐路交叉口,201,23647,观音寺
观音寺南里,68.28,1996,观音寺-(大兴)观音寺南里,231,33831,观音寺
观音寺小区,68.79,1994,观音寺-观音寺街20号,229,33289,观音寺
双河南里,79.2,1999,观音寺-(大兴)双河南里,265,33459,观音寺
观音寺小区,70.65,1998,观音寺-观音寺街20号,208,29440,观音寺
观音寺南里,86.6,1994,观音寺-(大兴)观音寺南里,340,39260,观音寺
绿色庄园,104.2,2002,观音寺-(大兴)海子角东里,324,31094,观音寺
观音寺小区,93.21,2000,观音寺-观音寺街20号,309,33150,观音寺
观音寺南里,90.47,1996,观音寺-(大兴)观音寺南里,285,31502,观音寺
观音寺南里,99.43,2000,观音寺-(大兴)观音寺南里,309,31077,观音寺
海悦公馆,82.95,2014,观音寺-京开高速与黄马路交叉口东南角,316,38095,观音寺
观音寺南里,87.88,2002,观音寺-(大兴)观音寺南里,316,35958,观音寺
观音寺南里,90.47,1998,观音寺-(大兴)观音寺南里,290,32054,观音寺
观音寺小区,70.65,1996,观音寺-观音寺街20号,260,36801,观音寺
海悦公馆,85.94,2014,观音寺-京开高速与黄马路交叉口东南角,370,43053,观音寺
观音寺小区,71.9,1995,观音寺-观音寺街20号,240,33379,观音寺
海悦公馆,40.21,2014,观音寺-京开高速与黄马路交叉口东南角,183,45511,观音寺
观音寺小区,68.79,1994,观音寺-观音寺街20号,220,31981,观音寺
双河南里尚城,78,,观音寺-观音寺街道团河路双河南里尚城,285,36538,观音寺
观音寺小区,85.18,1998,观音寺-观音寺街20号,300,35219,观音寺
海子角西里,63.65,1994,观音寺-(大兴)海子角西里,205,32207,观音寺
观音寺小区,68.79,1995,观音寺-观音寺街20号,221,32126,观音寺
观音寺北里,67.94,1996,观音寺-(大兴)观音寺北里,230,33853,观音寺
海子角南里,73.18,1998,观音寺-(大兴)海子角南里,230,31429,观音寺
观音寺南里,90.47,1996,观音寺-(大兴)观音寺南里,285,31502,观音寺
观音寺小区,83.12,1999,观音寺-观音寺街20号,239,28753,观音寺
双河南里尚城,78,,观音寺-观音寺街道团河路双河南里尚城,285,36538,观音寺
观音寺南里,87.88,2002,观音寺-(大兴)观音寺南里,303,34478,观音寺
观音寺南里,90.47,1996,观音寺-(大兴)观音寺南里,258,28517,观音寺
海子角南里,89.12,1998,观音寺-(大兴)海子角南里,275,30857,观音寺
观音寺南里,87.88,2000,观音寺-(大兴)观音寺南里,287,32658,观音寺
观音寺北里,69.11,1998,观音寺-(大兴)观音寺北里,245,35450,观音寺
观音寺南里,86.6,1994,观音寺-(大兴)观音寺南里,340,39260,观音寺
观音寺南里,90.47,1998,观音寺-(大兴)观音寺南里,290,32054,观音寺
观音寺南里,63.12,1996,观音寺-(大兴)观音寺南里,202,32002,观音寺
双河南里尚城,77.92,2014,观音寺-观音寺街道团河路双河南里尚城,290,37217,观音寺
观音寺小区,68.79,1996,观音寺-观音寺街20号,248,36051,观音寺
海悦公馆,85.94,2014,观音寺-京开高速与黄马路交叉口东南角,370,43053,观音寺
观音寺北里,69.11,1996,观音寺-(大兴)观音寺北里,216,31254,观音寺
双河南里尚城,80.86,2010,观音寺-观音寺街道团河路双河南里尚城,318,39327,观音寺
观音寺南里,68.28,1996,观音寺-(大兴)观音寺南里,231,33831,观音寺
绿色庄园,104.2,2002,观音寺-(大兴)海子角东里,324,31094,观音寺
观音寺小区,68.79,1995,观音寺-观音寺街20号,221,32126,观音寺
观音寺小区,70.65,1994,观音寺-观音寺街20号,209,29582,观音寺
观音寺北里,67.94,1996,观音寺-(大兴)观音寺北里,230,33853,观音寺
宇丰苑,68.39,2006,观音寺-大兴环岛京开高速东侧(大兴桥东南侧),260,38017,观音寺
宇丰苑,94.69,2004,观音寺-大兴环岛京开高速东侧(大兴桥东南侧),285,30098,观音寺
海悦公馆,82.95,2014,观音寺-京开高速与黄马路交叉口东南角,316,38095,观音寺
观音寺小区,71.9,1995,观音寺-观音寺街20号,238,33101,观音寺
观音寺南里,90.14,2001,观音寺-(大兴)观音寺南里,325,36055,观音寺
观音寺小区,68.79,1994,观音寺-观音寺街20号,220,31981,观音寺
辛店小区,75.78,1998,"观音寺-大兴黄村海子角南,黄徐路东侧",230,30351,观音寺
观音寺小区,101.76,1998,观音寺-观音寺街20号,320,31446,观音寺
观音寺小区,70.65,1996,观音寺-观音寺街20号,260,36801,观音寺
绿色庄园,90.81,2004,观音寺-(大兴)海子角东里,338,37220,观音寺
观音寺小区,70.65,1998,观音寺-观音寺街20号,208,29440,观音寺
海子角南里,73.3,2001,观音寺-(大兴)海子角南里,233,31787,观音寺
观音寺南里,90.47,2003,观音寺-(大兴)观音寺南里,325,35923,观音寺
观音寺新区,124.65,2002,观音寺-(大兴)观音寺北里,458,36742,观音寺
海悦公馆,40.21,2014,观音寺-京开高速与黄马路交叉口东南角,183,45511,观音寺
观音寺小区,68.79,1995,观音寺-观音寺街20号,215,31254,观音寺
观音寺南里,87.88,2002,观音寺-(大兴)观音寺南里,316,35958,观音寺
观音寺新区,141.73,1998,观音寺-(大兴)观音寺北里,430,30339,观音寺
海子角小区,93.88,1998,观音寺-大兴环岛向东100米友爱医院旁边,285,30357,观音寺
双河南里,67.5,1994,观音寺-(大兴)双河南里,218,32296,观音寺
双河南里,85.09,1998,观音寺-(大兴)双河南里,275,32318,观音寺
观音寺南里,73.45,1995,观音寺-(大兴)观音寺南里,228,31041,观音寺
